grid_code,degrees,metres,protected
0.0230640,1.7216080,2200.2258301,1
0.0207930,0.5787815,2205.1030273,1
0.0295681,1.0545224,1966.8666992,1
0.3013616,1.3647083,1511.8404541,1
0.3055744,0.4090061,1638.0161133,1
0.2817712,0.5831819,1523.1744385,1
0.6426787,0.4435376,1389.9920654,0
0.8639624,0.3481368,1404.7043457,0
0.4064324,0.3231990,1312.5773926,0
0.5537271,0.2278194,1267.4926758,1
0.7263891,0.1694212,1233.7752686,0
0.8345014,0.1497960,1227.5446777,1
0.0691866,0.8540778,1406.5345459,0
0.0812965,1.6053953,902.0239868,0
0.0691711,2.5048342,1528.3557129,1
0.0685924,2.3242946,1192.1014404,1
0.4312706,0.3176206,651.2501831,0
0.0906278,0.8555452,1357.3267822,0
0.0857176,1.1280705,936.9617310,0
0.0719435,1.0668583,1495.0021973,0
0.0678002,0.4275854,1353.7934570,1
0.0522146,0.5039350,1488.3450928,1
0.0507094,1.2394398,1462.4453125,0
0.2838406,0.7894542,1041.1600342,0
0.2837977,1.6254628,1034.0675049,0
0.0413715,1.1643476,1542.4969482,0
0.0405420,0.3638968,1568.4415283,1
0.0466428,0.5334277,1602.7207031,1
0.2099679,1.3600826,1416.3270264,1
0.0259338,1.2974709,1833.2648926,1
0.0352879,0.7786195,1597.6098633,1
0.0226395,0.5817342,2208.8896484,1
0.2573549,1.5347869,1796.1058350,1
0.3154714,0.5938121,1616.0593262,0
0.3142895,0.7233906,1559.3808594,1
0.5706865,0.6356115,1374.9230957,0
0.9030649,0.4202761,1298.3391113,0
0.4487038,0.3909660,1291.9385986,0
0.6128833,0.3475892,1238.3947754,1
0.6359562,0.2539503,1190.4692383,0
0.7720510,0.1914922,1199.6506348,1
0.8201255,0.1474429,1240.7673340,1
0.9724021,0.4971122,1269.3529053,1
0.9214444,0.4989025,1070.0059814,1
0.9457058,0.2077675,1039.0814209,1
0.0560623,0.0829894,1683.3822021,1
0.0740229,0.5916949,1212.4742432,1
0.0695398,1.1281186,1978.2878418,1
0.0580054,3.0321233,1555.4034424,1
0.4398373,0.5227578,756.5140991,0
0.0596744,1.1625068,1401.7797852,0
0.0598871,0.4155404,1427.0645752,0
0.0842927,0.9473771,1402.2351074,0
0.1032870,0.9192823,994.9019165,1
0.0549805,1.0957706,1548.3552246,1
0.0519840,1.0714953,1467.4293213,0
0.0561978,1.5099940,1146.1807861,0
0.0558692,0.2830183,1054.6894531,0
0.0508373,1.7423362,1251.3822021,1
0.0441833,1.7576239,1489.4105225,1
